ASIGNATURA,TEMA O CONCEPTO,SOLO,BLOOM,TEMA_CLASIFICADO,APRENDIZAJE_ASIGNATURA
INGENIERÍA WEB,Acompañamiento arquitectura proyecto,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ARQUITECTURA DE SOFTWARE,procesos de arquitectura de software ,Multiestructural,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,Revisión de correcciones proyecto,Relacional,Analizar,Otros,Analiza datos empleando métodos estadísticos y herramientas de visualización de grandes volúmenes de datos y datos geoespaciales para interpretar tendencias y patrones.
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,proyecto,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,revisión de objetivos,Relacional,Analizar,Investigación,"Comprende el contexto histórico y social de la informática, mediante el análisis casuístico, relacionando tendencias tecnológicas actuales y sus implicaciones e impactos en la sociedad. "
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,Proyecto,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
PROGRAMACIÓN IMPERATIVA,Instrucciones Repetitivas,Uniestructural,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
PROGRAMACIÓN IMPERATIVA,Funciones recursivas,Relacional,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
PROGRAMACIÓN IMPERATIVA,proyecto de clase,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ESTRUCTURAS DE DATOS,Constructores y destructores en Estructuras anidadas,Preestructural,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ESTRUCTURAS DE DATOS,problemas con colas de enlace simple,Multiestructural,Comprender,Otros,"Explica fenómenos sociales o naturales a través de conocimientos científicos, tecnológicos y contextuales, en función de la resolución de problemas y la toma decisiones."
ESTRUCTURAS DE DATOS,Dudas C++,Preestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,Aclaración dudas relaciones en un diagrama de clases ,Preestructural,Recordar,Programación Java,Recordar Estrategias de Codificación Efectiva y Eficiente
ANÁLISIS Y DISEÑO DE ALGORITMOS,Límites de sumatoria,Relacional,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,Teoría de colas,Uniestructural,Recordar,Estadística y Matemáticas,Recordar Estrategias de Codificación Efectiva y Eficiente
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,Teoría de Colas,Uniestructural,Recordar,Estadística y Matemáticas,Recordar Estrategias de Codificación Efectiva y Eficiente
ARQUITECTURA DE SOFTWARE,Validación del alcance del entregable final,Multiestructural,Comprender,Investigación,"Aplica técnicas de QoS para priorizar el tráfico de red, asegurando la entrega eficiente de servicios críticos mediante la virtualización de redes y redes definidas por software (SDN) para una administración más flexible y escalable."
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,Dudas en las temáticas vistas en clase,Preestructural,Recordar,Programación Python,Recordar Estrategias de Codificación Efectiva y Eficiente
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,Proyecto de estocásticos,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,Practica de presentación de proyecto,Abstracto Extendido,Aplicar,Otros,"Soluciona problemas de conectividad, rendimiento o seguridad además de llevar a cabo la documentación y mantenimiento de las redes para garantizar su estabilidad y evolución mediante herramientas de monitoreo y diagnóstico de redes"
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,Correcciones de proyecto,Relacional,Evaluar,Otros,Evaluar Estrategias para Verificar la Calidad del Código
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,proyecto,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,Proyecto,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,Proyecto ,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
INGENIERÍA WEB,Project Charter,NO HAY VERBO,NO HAY VERBO,Otros,NO HAY VERBO
INGENIERÍA WEB,Diseño del sistema web,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
PROGRAMACIÓN IMPERATIVA,Dudas funciones en C++,Preestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
PROGRAMACIÓN IMPERATIVA,Dudas funciones recursivas,Preestructural,Recordar,Programación VBA,"Determina las aplicaciones del Deep Learning en diferentes contextos, como imágenes y lenguaje natural para la solución de problemas que pueden ser resueltos mediante estas técnicas."
PROGRAMACIÓN IMPERATIVA,proyecto de clase c++,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ESTRUCTURAS DE DATOS,Estructuras anidadas,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ESTRUCTURAS DE DATOS,Actividad proyecto práctico,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ESTRUCTURAS DE DATOS,listas simplemente encadenadas,Preestructural,Recordar,Programación Python,Recordar Estrategias de Codificación Efectiva y Eficiente
ESTRUCTURAS DE DATOS,Dudas acerca de C++,Preestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,Revisión Diagrama de Clases ,Relacional,Analizar,Otros,Analiza datos empleando métodos estadísticos y herramientas de visualización de grandes volúmenes de datos y datos geoespaciales para interpretar tendencias y patrones.
INGENIERÍA DE SOFTWARE,BPM,NO HAY VERBO,NO HAY VERBO,NO HAY TEMA,NO HAY VERBO
INGENIERÍA DE SOFTWARE,Definición de requerimientos ,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
INGENIERÍA DE SOFTWARE,Preguntas capa de presentación,Preestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
ANÁLISIS Y DISEÑO DE ALGORITMOS,Complejidad computacional en proyecto integrador,Relacional,Crear,Proyecto Integrador,Integra aplicaciones orientadas a objetos con bases de datos para el desarrollo de soluciones prácticas
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,Introducción a Diseño y Programación Orientada a Objetos ,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,Promedio académico ,Abstracto Extendido,Evaluar,Otros,Evaluar Estrategias para Verificar la Calidad del Código
CONSTRUCCIÓN DE SOFTWARE,desarrollo web,Relacional,Aplicar,Otros,"Soluciona problemas de conectividad, rendimiento o seguridad además de llevar a cabo la documentación y mantenimiento de las redes para garantizar su estabilidad y evolución mediante herramientas de monitoreo y diagnóstico de redes"
CONSTRUCCIÓN DE SOFTWARE,programación web,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID,android studio,NO HAY VERBO,NO HAY VERBO,Otros,NO HAY VERBO
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,DPOO - Aclaración relaciones del Diagrama de clases UML,Multiestructural,Analizar,Investigación,"Comprende el contexto histórico y social de la informática, mediante el análisis casuístico, relacionando tendencias tecnológicas actuales y sus implicaciones e impactos en la sociedad. "
ANÁLISIS Y DISEÑO DE ALGORITMOS,Programas en Java clases y métodos.,Multiestructural,Aplicar,Programación Java,"Aplica técnicas de QoS para priorizar el tráfico de red, asegurando la entrega eficiente de servicios críticos mediante la virtualización de redes y redes definidas por software (SDN) para una administración más flexible y escalable."
PROGRAMACIÓN IMPERATIVA,Dudas funciones en c++,Preestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
PROGRAMACIÓN IMPERATIVA,Dudas taller de funciones,Preestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
PROGRAMACIÓN IMPERATIVA,Dudas sobre manejo de funciones en C,Preestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
ESTRUCTURAS DE DATOS,Problemas datos Colas,Preestructural,Evaluar,Otros,Evaluar Estrategias para Verificar la Calidad del Código
ESTRUCTURAS DE DATOS,Parcial,Relacional,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ANÁLISIS Y DISEÑO DE ALGORITMOS,Complejidad computacional,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ANÁLISIS Y DISEÑO DE ALGORITMOS,Complejidad computadcióna.,Uniestructural,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ANÁLISIS Y DISEÑO DE ALGORITMOS,Complejidad logarítmica,Uniestructural,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ANÁLISIS Y DISEÑO DE ALGORITMOS,Sumatoria Finita en Java,Relacional,Crear,Programación Java,Integra los algoritmos seleccionados con criterios de eficiencia y efectividad para la solución de problemas informáticos complejos.
PROGRAMACIÓN IMPERATIVA,Funciones y recursividad,Uniestructural,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
PROGRAMACIÓN IMPERATIVA,Instrucciones condicionales,Relacional,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
PROGRAMACIÓN IMPERATIVA,Dudas taller de ciclos,Preestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
PROGRAMACIÓN IMPERATIVA,Dudas en C++,Preestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
PROGRAMACIÓN IMPERATIVA,Dudas C++,Preestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
PROGRAMACIÓN IMPERATIVA,Dudas Taller C++,Preestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
PROGRAMACIÓN IMPERATIVA,Dudas funciones ,Preestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
PROGRAMACIÓN IMPERATIVA,Dudas arreglos,Preestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
INGENIERÍA WEB,FastAPI Introduccion,NO HAY VERBO,NO HAY VERBO,Otros,NO HAY VERBO
ARQUITECTURA DE SOFTWARE,Definición de conjunto de datos.,Relacional,Crear,Algoritmia,Integra los algoritmos seleccionados con criterios de eficiencia y efectividad para la solución de problemas informáticos complejos.
ARQUITECTURA DE SOFTWARE,Definir la arquitectura de referencia,Uniestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
ARQUITECTURA DE SOFTWARE,Arquitectura de datos,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ARQUITECTURA DE SOFTWARE,Definición del conjunto de datos para la toma de decisiones en las costas colombianas,Multiestructural,Comprender,Proyecto Integrador,"Manipula datos empleando herramientas y aplicando técnicas para la extracción, limpieza, transformación y preprocesamiento de datos en diferentes entornos y formatos."
ARQUITECTURA DE SOFTWARE,Definicion del alcance de la aplicacion ,Multiestructural,Comprender,Otros,"Explica fenómenos sociales o naturales a través de conocimientos científicos, tecnológicos y contextuales, en función de la resolución de problemas y la toma decisiones."
ARQUITECTURA DE SOFTWARE,Refinar los objetivos de la arquitectura de software,Abstracto Extendido,Aplicar,Otros,"Soluciona problemas de conectividad, rendimiento o seguridad además de llevar a cabo la documentación y mantenimiento de las redes para garantizar su estabilidad y evolución mediante herramientas de monitoreo y diagnóstico de redes"
ARQUITECTURA DE SOFTWARE,Revisión de arquitectura y alcance,Relacional,Analizar,Otros,Analiza datos empleando métodos estadísticos y herramientas de visualización de grandes volúmenes de datos y datos geoespaciales para interpretar tendencias y patrones.
ARQUITECTURA DE SOFTWARE,Revisión documento final de definición y alcance,Relacional,Analizar,Investigación,"Comprende el contexto histórico y social de la informática, mediante el análisis casuístico, relacionando tendencias tecnológicas actuales y sus implicaciones e impactos en la sociedad. "
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID,Creación subgrupo en gitlab,Relacional,Crear,Algoritmia,Integra los algoritmos seleccionados con criterios de eficiencia y efectividad para la solución de problemas informáticos complejos.
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID,Validación de KOTLIN,NO HAY VERBO,NO HAY VERBO,Investigación,NO HAY VERBO
PROGRAMACIÓN IMPERATIVA,Funciones y recursividad,Uniestructural,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ESTRUCTURAS DE DATOS,Listas enlazadas,Multiestructural,Comprender,Programación Python,"Determina las aplicaciones del Deep Learning en diferentes contextos, como imágenes y lenguaje natural para la solución de problemas que pueden ser resueltos mediante estas técnicas."
ESTRUCTURAS DE DATOS,Listas enlazadas,Multiestructural,Comprender,Programación Python,"Determina las aplicaciones del Deep Learning en diferentes contextos, como imágenes y lenguaje natural para la solución de problemas que pueden ser resueltos mediante estas técnicas."
ESTRUCTURAS DE DATOS,Proyecto integrador,Relacional,Crear,Proyecto Integrador,Integra aplicaciones orientadas a objetos con bases de datos para el desarrollo de soluciones prácticas
ANÁLISIS Y DISEÑO DE ALGORITMOS,Complejidad computacional,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ANÁLISIS Y DISEÑO DE ALGORITMOS,Algoritmo de Prim,Multiestructural,Analizar,Algoritmia,Integra los algoritmos seleccionados con criterios de eficiencia y efectividad para la solución de problemas informáticos complejos.
ANÁLISIS Y DISEÑO DE ALGORITMOS,árbol recubridor mínimo,Relacional,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,Teorema de Bayes,Uniestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID,Intents y Activities en Android,NO HAY VERBO,NO HAY VERBO,Programación Python,NO HAY VERBO
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,Como escribir correctamente el objetivo general del proyecto del procesamiento de imágenes,Uniestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,Construcción de un dataset de memes,NO HAY VERBO,NO HAY VERBO,Otros,NO HAY VERBO
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID,Manejo de Intents para activities,Aplicar,Aplicar,Otros,"Soluciona problemas de conectividad, rendimiento o seguridad además de llevar a cabo la documentación y mantenimiento de las redes para garantizar su estabilidad y evolución mediante herramientas de monitoreo y diagnóstico de redes"
CONSTRUCCIÓN DE SOFTWARE,Validación de tipos abstractos de datos para proyecto integrador.,Relacional,Crear,Proyecto Integrador,Integra aplicaciones orientadas a objetos con bases de datos para el desarrollo de soluciones prácticas
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID,Encuestas para usos de herramientas Android,Abstracto Extendido,Aplicar,Proyecto Integrador,"Manipula datos empleando herramientas y aplicando técnicas para la extracción, limpieza, transformación y preprocesamiento de datos en diferentes entornos y formatos."
SISTEMAS DISTRIBUIDOS COMPUTACIONALES,.net Framewok,NO HAY VERBO,NO HAY VERBO,Otros,NO HAY VERBO
SISTEMAS DISTRIBUIDOS COMPUTACIONALES,Servidor Opendaylight en docker,Abstracto Extendido,Aplicar,Programación Java,"Aplica técnicas de QoS para priorizar el tráfico de red, asegurando la entrega eficiente de servicios críticos mediante la virtualización de redes y redes definidas por software (SDN) para una administración más flexible y escalable."
SISTEMAS DISTRIBUIDOS COMPUTACIONALES,Docker Servidor Asterisk ,Abstracto Extendido,Aplicar,Programación VBA,"Determina las aplicaciones del Deep Learning en diferentes contextos, como imágenes y lenguaje natural para la solución de problemas que pueden ser resueltos mediante estas técnicas."
PROGRAMACIÓN IMPERATIVA,Dudas ciclos,Preestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
PROGRAMACIÓN IMPERATIVA,Dudas Taller C++,Preestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
PROGRAMACIÓN IMPERATIVA,Dudas funciones,Preestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
PROGRAMACIÓN IMPERATIVA,Dudas arreglos,Preestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
PROGRAMACIÓN IMPERATIVA,Ciclos en C++,NO HAY VERBO,Analizar,Otros,Analiza datos empleando métodos estadísticos y herramientas de visualización de grandes volúmenes de datos y datos geoespaciales para interpretar tendencias y patrones.
PROGRAMACIÓN IMPERATIVA,Funciones y recursividad,Uniestructural,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ESTRUCTURAS DE DATOS,Apuntadores,Uniestructural,Aplicar,Programación Python,"Aplica técnicas de QoS para priorizar el tráfico de red, asegurando la entrega eficiente de servicios críticos mediante la virtualización de redes y redes definidas por software (SDN) para una administración más flexible y escalable."
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,distribución binomial,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
SISTEMAS DISTRIBUIDOS COMPUTACIONALES,Servidor DNS AWS,Abstracto Extendido,Aplicar,Otros,"Soluciona problemas de conectividad, rendimiento o seguridad además de llevar a cabo la documentación y mantenimiento de las redes para garantizar su estabilidad y evolución mediante herramientas de monitoreo y diagnóstico de redes"
SISTEMAS DISTRIBUIDOS COMPUTACIONALES,Servidor SIP AWS ,Abstracto Extendido,Aplicar,Programación Robot,"Aplica técnicas de QoS para priorizar el tráfico de red, asegurando la entrega eficiente de servicios críticos mediante la virtualización de redes y redes definidas por software (SDN) para una administración más flexible y escalable."
ALGORITMIA Y PROGRAMACIÓN,programa VB-Excel,Abstracto Extendido,Aplicar,Programación VBA,"Determina las aplicaciones del Deep Learning en diferentes contextos, como imágenes y lenguaje natural para la solución de problemas que pueden ser resueltos mediante estas técnicas."
ESTRUCTURAS DE DATOS,Pilas ,NO HAY VERBO,NO HAY VERBO,Otros,NO HAY VERBO
ANÁLISIS Y DISEÑO DE ALGORITMOS,Algoritmos prim programación dinámica,Multiestructural,Analizar,Algoritmia,Integra los algoritmos seleccionados con criterios de eficiencia y efectividad para la solución de problemas informáticos complejos.
INGENIERÍA DE SOFTWARE,requerimientos,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID,Creación subgrupo gitlab,NO HAY VERBO,NO HAY VERBO,Otros,NO HAY VERBO
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID,App,NO HAY VERBO,Aplicar,Otros,"Soluciona problemas de conectividad, rendimiento o seguridad además de llevar a cabo la documentación y mantenimiento de las redes para garantizar su estabilidad y evolución mediante herramientas de monitoreo y diagnóstico de redes"
INGENIERÍA WEB,Manejo de TDA listas,Aplicar,Aplicar,Programación Python,"Aplica técnicas de QoS para priorizar el tráfico de red, asegurando la entrega eficiente de servicios críticos mediante la virtualización de redes y redes definidas por software (SDN) para una administración más flexible y escalable."
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,Estructura del programa,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,teoria de colas,Uniestructural,Recordar,Estadística y Matemáticas,Recordar Estrategias de Codificación Efectiva y Eficiente
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,distribución de poisson,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ALGORITMIA Y PROGRAMACIÓN,Dudas en realización de algoritmos y Visual Basic,Preestructural,Recordar,Programación VBA,"Determina las aplicaciones del Deep Learning en diferentes contextos, como imágenes y lenguaje natural para la solución de problemas que pueden ser resueltos mediante estas técnicas."
ALGORITMIA Y PROGRAMACIÓN,VBA,NO HAY VERBO,NO HAY VERBO,Programación VBA,NO HAY VERBO
ALGORITMIA Y PROGRAMACIÓN,Dudas con matrices en Visual Basic,Preestructural,Recordar,Programación VBA,"Determina las aplicaciones del Deep Learning en diferentes contextos, como imágenes y lenguaje natural para la solución de problemas que pueden ser resueltos mediante estas técnicas."
ALGORITMIA Y PROGRAMACIÓN,Dudas matrices visual basic,Preestructural,Recordar,Programación VBA,"Determina las aplicaciones del Deep Learning en diferentes contextos, como imágenes y lenguaje natural para la solución de problemas que pueden ser resueltos mediante estas técnicas."
PROGRAMACIÓN IMPERATIVA,Dudas C++,Preestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
ESTRUCTURAS DE DATOS,Listas enlazadas,Multiestructural,Comprender,Programación Python,"Determina las aplicaciones del Deep Learning en diferentes contextos, como imágenes y lenguaje natural para la solución de problemas que pueden ser resueltos mediante estas técnicas."
ESTRUCTURAS DE DATOS,listas enlazadas,Multiestructural,Comprender,Programación Python,"Determina las aplicaciones del Deep Learning en diferentes contextos, como imágenes y lenguaje natural para la solución de problemas que pueden ser resueltos mediante estas técnicas."
PROGRAMACIÓN IMPERATIVA,Manejo de condicional múltiple en C++,Aplicar,Aplicar,Otros,"Soluciona problemas de conectividad, rendimiento o seguridad además de llevar a cabo la documentación y mantenimiento de las redes para garantizar su estabilidad y evolución mediante herramientas de monitoreo y diagnóstico de redes"
PROGRAMACIÓN IMPERATIVA,Ciclos en C++,NO HAY VERBO,Analizar,Otros,Analiza datos empleando métodos estadísticos y herramientas de visualización de grandes volúmenes de datos y datos geoespaciales para interpretar tendencias y patrones.
PROGRAMACIÓN IMPERATIVA,Ciclos en c++,NO HAY VERBO,Analizar,Otros,Analiza datos empleando métodos estadísticos y herramientas de visualización de grandes volúmenes de datos y datos geoespaciales para interpretar tendencias y patrones.
PROGRAMACIÓN IMPERATIVA,Matrices,Multiestructural,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
PROGRAMACIÓN IMPERATIVA,Estructuras en C++,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,conceptos Java-objetos,Abstracto Extendido,Analizar,Programación Java,Analiza datos empleando métodos estadísticos y herramientas de visualización de grandes volúmenes de datos y datos geoespaciales para interpretar tendencias y patrones.
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,Distribución Normal,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
INGENIERÍA WEB,Determinación de Criterios de validación,Relacional,Analizar,Investigación,"Comprende el contexto histórico y social de la informática, mediante el análisis casuístico, relacionando tendencias tecnológicas actuales y sus implicaciones e impactos en la sociedad. "
INGENIERÍA WEB,Arquitectura de los objetivos ,Abstracto Extendido,Crear,Algoritmia,Integra los algoritmos seleccionados con criterios de eficiencia y efectividad para la solución de problemas informáticos complejos.
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID,creación subgrupo gitlab,NO HAY VERBO,NO HAY VERBO,Otros,NO HAY VERBO
INGENIERÍA WEB,Arquitectura y Persistencia,Multiestructural,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
INGENIERÍA WEB,Flujo del sistema Web,Multiestructural,Crear,Investigación,Crear Automatización de Pruebas y Mejora Continua
